----------------------------------------
Begin Torque Prologue on nid25333
at Sat Oct 27 11:19:58 CDT 2018
Job Id:			9149709.bw
Username:		tra437
Group:			TRAIN_bauh
Job name:		ACG
Requested resources:	nodes=1:ppn=16:xk,walltime=45:00:00,neednodes=1:ppn=16:xk
Queue:			normal
Account:		bauh
End Torque Prologue:  0.127 elapsed
----------------------------------------




Files already downloaded and verified
Epoch 100: test_acc: 79.8457%, epoch_time: 534.46
Epoch 101: test_acc: 80.9039%, epoch_time: 534.62
Epoch 102: test_acc: 81.0621%, epoch_time: 535.10
Epoch 103: test_acc: 82.1994%, epoch_time: 534.81
Epoch 104: test_acc: 81.4379%, epoch_time: 534.77
Epoch 105: test_acc: 81.6851%, epoch_time: 534.92
Epoch 106: test_acc: 81.3192%, epoch_time: 534.72
Epoch 107: test_acc: 81.2006%, epoch_time: 534.41
Epoch 108: test_acc: 81.9422%, epoch_time: 534.90
Epoch 109: test_acc: 81.4676%, epoch_time: 534.32
Epoch 110: test_acc: 80.9039%, epoch_time: 534.83
Epoch 111: test_acc: 81.9324%, epoch_time: 534.83
Epoch 112: test_acc: 81.9620%, epoch_time: 534.72
Epoch 113: test_acc: 81.8236%, epoch_time: 534.64
Epoch 114: test_acc: 82.8125%, epoch_time: 534.47
Epoch 115: test_acc: 82.4763%, epoch_time: 534.77
Epoch 116: test_acc: 80.7358%, epoch_time: 534.53
Epoch 117: test_acc: 81.1808%, epoch_time: 534.42
Epoch 118: test_acc: 81.7939%, epoch_time: 534.21
Epoch 119: test_acc: 82.0214%, epoch_time: 534.25
Epoch 120: test_acc: 82.5850%, epoch_time: 534.63
Epoch 121: test_acc: 82.3081%, epoch_time: 534.46
Epoch 122: test_acc: 82.5257%, epoch_time: 534.69
Epoch 123: test_acc: 80.8643%, epoch_time: 535.26
Epoch 124: test_acc: 82.7631%, epoch_time: 534.73
Epoch 125: test_acc: 80.8841%, epoch_time: 534.32
Epoch 126: test_acc: 81.0819%, epoch_time: 534.80
Epoch 127: test_acc: 82.5455%, epoch_time: 534.50
Epoch 128: test_acc: 82.8125%, epoch_time: 534.69
Epoch 129: test_acc: 83.0301%, epoch_time: 534.62
Epoch 130: test_acc: 81.8829%, epoch_time: 534.74
Epoch 131: test_acc: 82.5554%, epoch_time: 534.57
Epoch 132: test_acc: 80.6863%, epoch_time: 534.79
Epoch 133: test_acc: 82.4565%, epoch_time: 534.04
Epoch 134: test_acc: 82.6246%, epoch_time: 534.61
Epoch 135: test_acc: 82.3180%, epoch_time: 534.84
Epoch 136: test_acc: 82.3279%, epoch_time: 534.92
Epoch 137: test_acc: 81.6456%, epoch_time: 534.42
Epoch 138: test_acc: 82.5949%, epoch_time: 534.91
Epoch 139: test_acc: 82.5554%, epoch_time: 534.78
Epoch 140: test_acc: 82.1994%, epoch_time: 534.73
Epoch 141: test_acc: 83.0301%, epoch_time: 534.48
Epoch 142: test_acc: 83.4553%, epoch_time: 534.79
Epoch 143: test_acc: 82.7433%, epoch_time: 534.37
Epoch 144: test_acc: 82.5158%, epoch_time: 534.50
Epoch 145: test_acc: 82.8026%, epoch_time: 534.61
Epoch 146: test_acc: 82.8916%, epoch_time: 534.41
Epoch 147: test_acc: 81.6950%, epoch_time: 534.53
Epoch 148: test_acc: 83.4454%, epoch_time: 535.11
Epoch 149: test_acc: 83.0894%, epoch_time: 534.49
Epoch 150: test_acc: 82.8026%, epoch_time: 534.79
Epoch 151: test_acc: 82.4960%, epoch_time: 534.82
Epoch 152: test_acc: 83.2575%, epoch_time: 534.65
